Status,Project Name,Home Department,Nested Department,Top Level School or Major Office,Client/PI,UConn Affiliation,Grant Y/N,URL, Grant Value ,Sponsor,i3 Primary,i3 Staff,Project Contact Email,Cycle Out,Cycle In
discovery phase,CCRLS Career Training CMS,Center for Career Readiness and Life Skills,,Center for Career Readiness and Life Skills,Amelinda Rossitto,Internal,N,,,,Joel,"Brooke G., Joel S., Sara S.",,,
maintenance,Center for Excellence in Teaching and Learning Website,Center for Excellence in Teaching and Learning,,Center for Excellence in Teaching and Learning,Gwen Tarbox,Internal,N,,,,Sue,Sue S.,,,
maintenance,Syllabus Repository,Center for Excellence in Teaching and Learning,,Center for Excellence in Teaching and Learning,Gwen Tarbox,Internal,N,https://syllabus.uconn.edu/,,,Jeff,Jeff W.,,,
being built,Early College Experience 70th Anniversary Brochure,Office of Early College Experience Programs,Early College Experience,Institute for Student Success,Chris Todd,Internal,N,,,,Sue,Sue S.,,,
ongoing,Early College Experience Magazine,Office of Early College Experience Programs,Early College Experience,Institute for Student Success,Chris Todd,Internal,N,,,,Sue,Sue S.,,,
being built,Early College Experience Policy and Procedure Guide,Office of Early College Experience Programs,Early College Experience,Institute for Student Success,Chris Todd,Internal,N,,,,Sue,Sue S.,,,
ongoing,Early College Experience Posters,Office of Early College Experience Programs,Early College Experience,Institute for Student Success,Jessica Dunn,Internal,N,,,,Sue,Sue S.,,,
ongoing,Early College Experience Student Guide,Office of Early College Experience Programs,Early College Experience,Institute for Student Success,Jessica Dunn,Internal,N,,,,Sue,Sue S.,,,
being built,Early College Experience Website,Office of Early College Experience Programs,Early College Experience,Institute for Student Success,Chris Todd,Internal,N,,,,Sue,Sue S.,,,
ongoing,Pre-College Summer Annual Report,Office of Early College Experience,Pre-College Summer,Institute for Student Success,Bobbi-Jo Wathen,Internal,N,,,,Sue,Sue S.,,,
ongoing,Pre-College Summer Postcards and Posters,Office of Early College Programs,Pre-College Summer,Institute for Student Success,Bobbi-Jo Wathen,Internal,N,,,,Sue,Sue S.,,,
ongoing,Pre-College Summer Social Media & Digital Marketing,Office of Early College Programs,Pre-College Summer,Institute for Student Success,Bobbi-Jo Wathen,Internal,N,,,,Sue,Sue S.,,,
maintenance,Pre-College Summer Website,Office of Early College Programs,Pre-College Summer,Institute for Student Success,Bobbi-Jo Wathen,Internal,N,https://precollege-summer.uconn.edu/,,,Sue,Sue S.,,,
launched,Turf Grass Management App,Plant Science,Plant Science and Landscape Architecture,"College of Agriculture, Health and Natural Resources",Vicki Wallace,Internal,,,,,Joel,"Emma A., Joel S.",,,
pending approval,Lifestyle Intervention App,"College of Agriculture, Health and Natural Resources",,"College of Agriculture, Health and Natural Resources",Loneke Blackman Carr,Internal,Y,,,,Sara,"Brooke G., Joel S., Sara S.",,,
sunsetted,Hiring Maps,Agricultural & Resource Economics,,"College of Agriculture, Health and Natural Resources",Nathan Fiala,Internal,,,,,BK,Brian K.,,,
sunsetted,PrEP Choices Quiz,Allied Health Sciences,,"College of Agriculture, Health and Natural Resources",Pablo Kokay Valente,Internal,Y,,,,Natalie,"Natalie L., Joel S.",,,
